Business.Name,NAISC,Specific Industry,Industry
Cerne Calcium,212393,Other Chemical and Fertilizer Mineral Mining,Mining
FDX,492110,Couriers and Express Delivery Services,Freight
"AIP Storage, Inc.",493110,General Warehousing and Storage,Storage
Solera Source Dynamics LLC,541512,Computer Systems Design Services,IT
Oakley Transport,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
Million Air,488190,Other Support Activities for Air Transportation,Transportation
Keystone Water Company,221310,Water Supply and Irrigation Systems,Utilities
Heart River Energy,221118,Other Electric Power Generation,Energy
Today Cartage Inc.,484110,"General Freight Trucking, Local",Freight
Brenntag,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
BNSF,482111,Line-Haul Railroads,Freight
Chinook Medical Gear,339113,Surgical Appliance and Supplies Manufacturing,Manufacturing
Marathon Petroleum,324110,Petroleum Refineries,Energy
MedAire,621910,Ambulance Services,Healthcare
Torrance Storage Company,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
Abbys Catering,722320,Caterers,Food
MPLX,486110,Pipeline Transportation of Crude Oil,Transportation
Beacon Specialized Living Serv,623220,Residential Mental Health and Substance Abuse Facilities,Healthcare
CSI Forensic Supply,339113,Surgical Appliance and Supplies Manufacturing,Manufacturing
LA Test Labs,541380,Testing Laboratories,Professional Services
Dupont,325211,Plastics Material and Resin Manufacturing,Manufacturing
Watermark,541330,Engineering Services,Engineering
DXP Enterprises Inc.,423840,Industrial Supplies Merchant Wholesalers,Wholesale
Fedex Ground,492110,Couriers and Express Delivery Services,Freight
University of Wisconsin Madison,611310,"Colleges, Universities, and Professional Schools",Education
"St. Julian Wine Company, Inc.",312130,Wineries,Food
MetroPorts,488310,Port and Harbor Operations,Freight
Korth Transfer,484110,"General Freight Trucking, Local",Freight
GEM PUBLICATIONS INC,511120,Periodical Publishers,Publishing
Watco,488210,Support Activities for Rail Transportation,Freight
Pasco Fire Department,922160,Fire Protection,Public Services
FEDEX GROUND PACKAGE SYSTEM INC,492110,Couriers and Express Delivery Services,Freight
Paragon Construction and Design,236220,Commercial and Institutional Building Construction,Construction
Chemical Dynamics,325320,Pesticide and Other Agricultural Chemical Manufacturing,Manufacturing
Bear Mountain Beast,424520,Livestock Merchant Wholesalers,Food
Good Ground Sea Farm,112512,Shellfish Farming,Food
